time,	LDR,	LED
1000456,	3,	0
1001128,	3,	0
1001832,	4,	0
1002536,	3,	0
1003232,	3,	0
1003936,	4,	0
1004632,	4,	0
1005344,	3,	0
1006048,	4,	0
1006816,	5,	0
1008096,	3,	0
1009368,	3,	0
1010648,	3,	0
1011920,	3,	0
1013192,	3,	0
1014472,	3,	0
1015744,	3,	0
1017016,	4,	0
1018296,	3,	0
1019568,	3,	0
1020848,	4,	0
1022120,	3,	0
1023392,	4,	0
1024672,	3,	0
1025944,	3,	0
1027216,	4,	0
1028496,	3,	0
1029768,	4,	0
1031048,	4,	0
1032320,	3,	0
1033592,	4,	0
1034872,	3,	0
1036144,	3,	0
1037416,	4,	0
1038696,	3,	0
1039968,	3,	0
1041248,	4,	0
1042520,	3,	0
1043792,	3,	0
1045072,	3,	0
1046344,	3,	0
1047624,	4,	0
1048896,	3,	0
1050168,	3,	0
1051448,	3,	0
1052720,	3,	0
1053992,	4,	0
1055272,	3,	0
1056544,	3,	0
1057816,	4,	0
1059096,	3,	0
1060368,	3,	0
1061648,	4,	0
1062920,	3,	0
1064192,	3,	0
1065472,	3,	0
1066744,	3,	0
1068024,	3,	0
1069296,	3,	0
1070568,	3,	0
1071848,	4,	0
1073120,	3,	0
1074392,	4,	0
1075672,	3,	0
1076944,	3,	0
1078224,	3,	0
1079496,	3,	0
1080768,	3,	0
1082048,	4,	0
1083320,	3,	0
1084592,	3,	0
1085872,	3,	0
1087144,	3,	0
1088416,	4,	0
1089696,	3,	0
1090968,	3,	0
1092248,	4,	0
1093520,	3,	0
1094792,	3,	0
1096072,	3,	0
1097344,	3,	0
1098616,	4,	0
1099904,	3,	0
1101168,	3,	0
1102448,	3,	0
1103720,	3,	0
1104992,	4,	0
1106272,	3,	0
1107544,	3,	0
1108816,	4,	0
1110096,	3,	0
1111368,	3,	0
1112648,	3,	0
1113920,	4,	0
1115192,	3,	0
1116472,	3,	0
1117744,	3,	0
1119024,	4,	0
1120296,	3,	0
1121568,	3,	0
1122848,	4,	0
1124120,	3,	0
1125392,	4,	0
1126672,	3,	0
1127944,	3,	0
1129224,	4,	0
1130504,	3,	0
1131768,	3,	0
1133048,	4,	0
1134320,	3,	0
1135592,	3,	0
1136872,	3,	0
1138144,	3,	0
1139424,	4,	0
1140696,	3,	0
1141968,	3,	0
1143248,	4,	0
1144520,	3,	0
1145792,	3,	0
1147072,	3,	0
1148344,	3,	0
1149616,	3,	0
1150896,	3,	0
1152168,	3,	0
1153448,	4,	0
1154720,	3,	0
1155992,	3,	0
1157272,	3,	0
1158544,	3,	0
1159816,	4,	0
1161096,	3,	0
1162368,	3,	0
1163648,	4,	0
1164920,	3,	0
1166192,	4,	0
1167472,	3,	0
1168744,	3,	0
1170016,	4,	0
1171296,	3,	0
1172568,	3,	0
1173848,	3,	0
1175120,	3,	0
1176392,	4,	0
1177672,	3,	0
1178944,	3,	0
1180224,	3,	0
1181496,	2,	0
1182768,	3,	0
1184048,	3,	0
1185320,	4,	0
1186592,	4,	0
1187872,	3,	0
1189144,	3,	0
1190424,	3,	0
1191696,	3,	0
1192968,	3,	0
1194248,	3,	0
1195520,	3,	0
1196792,	4,	0
1198072,	2,	0
1199360,	4,	10
1200704,	4,	10
1202064,	5,	10
1203424,	5,	10
1204784,	6,	10
1206144,	9,	10
1207504,	11,	10
1208952,	12,	10
1210392,	13,	10
1211840,	16,	10
1213288,	18,	10
1214728,	21,	10
1216176,	23,	10
1217624,	25,	10
1219064,	28,	10
1220512,	31,	10
1221952,	33,	10
1223400,	35,	10
1224848,	38,	10
1226288,	41,	10
1227736,	43,	10
1229176,	46,	10
1230624,	48,	10
1232072,	51,	10
1233512,	54,	10
1234960,	54,	10
1236408,	58,	10
1237848,	60,	10
1239296,	63,	10
1240736,	66,	10
1242184,	67,	10
1243632,	70,	10
1245072,	72,	10
1246520,	74,	10
1247968,	76,	10
1249408,	81,	10
1250856,	80,	10
1252296,	82,	10
1253744,	84,	10
1255192,	86,	10
1256632,	88,	10
1258080,	90,	10
1259528,	92,	10
1260968,	94,	10
1262416,	95,	10
1263856,	97,	10
1265304,	99,	10
1266752,	100,	10
1268280,	103,	10
1269808,	104,	10
1271344,	106,	10
1272872,	106,	10
1274400,	109,	10
1275928,	110,	10
1277456,	113,	10
1278992,	114,	10
1280520,	115,	10
1282056,	117,	10
1283584,	118,	10
1285112,	120,	10
1286640,	121,	10
1288168,	123,	10
1289704,	124,	10
1291232,	124,	10
1292760,	126,	10
1294288,	127,	10
1295816,	129,	10
1297352,	130,	10
1298880,	131,	10
1300408,	132,	10
1301936,	134,	10
1303472,	134,	10
1305000,	135,	10
1306528,	137,	10
1308056,	138,	10
1309592,	139,	10
1311120,	139,	10
1312648,	141,	10
1314176,	142,	10
1315712,	142,	10
1317240,	143,	10
1318768,	144,	10
1320296,	146,	10
1321832,	146,	10
1323360,	147,	10
1324888,	148,	10
1326424,	149,	10
1327952,	149,	10
1329480,	149,	10
1331008,	151,	10
1332544,	152,	10
1334072,	152,	10
1335600,	153,	10
1337128,	154,	10
1338664,	155,	10
1340192,	155,	10
1341720,	156,	10
1343248,	157,	10
1344776,	157,	10
1346312,	158,	10
1347840,	158,	10
1349368,	159,	10
1350896,	160,	10
1352432,	160,	10
1353960,	161,	10
1355488,	161,	10
1357024,	162,	10
1358552,	163,	10
1360080,	163,	10
1361608,	163,	10
1363136,	164,	10
1364672,	165,	10
1366200,	165,	10
1367728,	166,	10
1369264,	166,	10
1370792,	167,	10
1372320,	167,	10
1373848,	168,	10
