time,	LDR,	LED
456,	10,	0
1056,	10,	0
1704,	10,	0
2360,	10,	0
3016,	10,	0
3680,	10,	0
4336,	10,	0
4984,	10,	0
5648,	10,	0
6312,	10,	0
7272,	10,	0
8384,	10,	0
9480,	9,	0
10504,	10,	0
11696,	9,	0
12800,	9,	0
13904,	10,	0
15096,	9,	0
16200,	9,	0
17304,	10,	0
18496,	9,	0
19600,	9,	0
20720,	9,	128
21976,	9,	128
23256,	19,	128
24616,	36,	128
25976,	58,	128
27336,	88,	128
28696,	118,	128
30136,	151,	128
31584,	190,	128
33024,	226,	128
34472,	258,	128
35920,	290,	128
37360,	320,	128
38808,	348,	128
40256,	372,	128
41696,	396,	128
43152,	418,	128
44584,	435,	128
46032,	451,	128
47480,	469,	128
48920,	480,	128
50376,	490,	128
51816,	502,	128
53256,	513,	128
54704,	520,	128
56144,	527,	128
57592,	536,	128
59040,	540,	128
60480,	544,	128
61928,	550,	128
63376,	555,	128
64816,	557,	128
66264,	564,	128
67712,	567,	128
69152,	569,	128
70600,	571,	128
72040,	574,	128
73488,	577,	128
74936,	577,	128
76376,	581,	128
77832,	585,	128
79264,	586,	128
80712,	586,	128
82160,	591,	128
83600,	591,	128
85048,	589,	128
86496,	592,	128
87936,	595,	128
89384,	596,	128
90824,	596,	128
92280,	599,	128
93720,	599,	128
95160,	598,	128
96608,	601,	128
98056,	602,	128
99504,	601,	128
100944,	604,	128
102472,	606,	128
104000,	605,	128
105536,	603,	128
107064,	605,	128
108592,	608,	128
110120,	608,	128
111656,	606,	128
113184,	608,	128
114712,	611,	128
116240,	610,	128
117776,	608,	128
119304,	610,	128
120840,	613,	128
122360,	612,	128
123896,	610,	128
125424,	612,	128
126952,	615,	128
128480,	613,	128
130016,	614,	128
131544,	615,	128
133072,	616,	128
134600,	614,	128
136136,	613,	128
137664,	614,	128
139192,	617,	128
140720,	616,	128
142256,	614,	128
143784,	616,	128
145312,	619,	128
146840,	618,	128
148376,	615,	128
149904,	617,	128
151432,	620,	128
152960,	619,	128
154496,	617,	128
156024,	618,	128
157552,	621,	128
159080,	620,	128
160616,	617,	128
162144,	619,	128
163672,	622,	128
165200,	622,	128
166736,	617,	128
168264,	619,	128
169792,	622,	128
171320,	621,	128
172856,	619,	128
174384,	620,	128
175912,	623,	128
177440,	623,	128
178976,	620,	128
180504,	621,	128
182032,	623,	128
183560,	623,	128
185096,	620,	128
186624,	621,	128
188152,	624,	128
189680,	623,	128
191216,	621,	128
192752,	623,	128
194272,	625,	128
195808,	624,	128
197336,	621,	128
198872,	624,	128
200392,	625,	128
201928,	623,	128
203456,	623,	128
204992,	623,	128
206512,	626,	128
208048,	624,	128
209576,	622,	128
211112,	624,	128
212632,	626,	128
214168,	624,	128
215696,	622,	128
217232,	624,	128
218752,	627,	128
220288,	625,	128
221816,	622,	128
223352,	624,	128
224872,	627,	128
226400,	625,	128
227936,	623,	128
229464,	624,	128
230992,	629,	128
232520,	626,	128
234056,	622,	128
235584,	624,	128
237112,	627,	128
238640,	626,	128
240176,	624,	128
241704,	625,	128
243232,	628,	128
244760,	626,	128
246296,	624,	128
247824,	627,	128
249352,	628,	128
250888,	627,	128
252416,	624,	128
253944,	625,	128
255472,	628,	128
257000,	627,	128
258536,	624,	128
260064,	626,	128
261592,	630,	128
263120,	628,	128
264656,	625,	128
266184,	626,	128
267712,	629,	128
269240,	627,	128
270776,	624,	128
272304,	626,	128
273832,	628,	128
275360,	627,	128
276896,	624,	128
278424,	626,	128
279952,	628,	128
281480,	626,	128
283016,	624,	128
284544,	626,	128
286072,	628,	128
287600,	627,	128
289136,	624,	128
290664,	626,	128
292192,	628,	128
293720,	627,	128
295256,	624,	128
296784,	625,	128
298312,	629,	128
299840,	627,	128
301376,	623,	128
302904,	626,	128
304432,	629,	128
305960,	627,	128
307496,	622,	128
309024,	625,	128
310552,	628,	128
312080,	627,	128
313616,	625,	128
315144,	626,	128
316672,	629,	128
318200,	628,	128
319736,	625,	128
321272,	626,	148
322800,	631,	148
324320,	631,	148
325856,	631,	148
327384,	634,	148
328920,	639,	148
330440,	641,	148
331976,	639,	148
333504,	640,	148
335040,	644,	148
336560,	643,	148
338096,	641,	148
339624,	643,	148
341160,	647,	148
342680,	647,	148
344216,	644,	148
345744,	646,	148
347280,	649,	148
348800,	648,	148
350336,	646,	148
351864,	647,	148
353400,	650,	148
354920,	649,	148
356456,	647,	148
357984,	648,	148
359512,	651,	148
361040,	652,	148
362576,	647,	148
364104,	650,	148
365632,	651,	148
367160,	650,	148
368696,	650,	148
370224,	649,	148
371752,	652,	148
373280,	651,	148
374816,	648,	148
376344,	649,	148
377872,	653,	148
379400,	652,	148
380936,	650,	148
382464,	650,	148
383992,	653,	148
385520,	652,	148
387056,	650,	148
388584,	650,	148
390112,	653,	148
391640,	652,	148
393176,	649,	148
394704,	651,	148
396232,	655,	148
397760,	651,	148
399296,	649,	148
400824,	650,	148
402352,	653,	148
403880,	652,	148
405416,	649,	148
406944,	651,	148
408472,	654,	148
410000,	653,	148
411536,	650,	148
413064,	651,	148
414592,	654,	148
416120,	653,	148
417656,	650,	148
419184,	651,	148
420712,	654,	148
422240,	653,	148
423776,	650,	148
425304,	651,	148
426832,	655,	148
428360,	654,	148
429896,	651,	148
431424,	651,	148
432952,	654,	148
434480,	653,	148
436016,	650,	148
437544,	652,	148
439072,	654,	148
