time,	LDR,	LED
1000472,	4,	0
1001088,	4,	0
1001744,	4,	0
1002392,	4,	0
1003040,	4,	0
1003696,	4,	0
1004344,	4,	0
1004992,	3,	0
1005648,	4,	0
1006832,	4,	0
1008112,	4,	0
1009384,	4,	0
1010664,	4,	0
1011936,	3,	0
1013208,	4,	0
1014488,	3,	0
1015760,	3,	0
1017040,	4,	0
1018312,	3,	0
1019584,	4,	0
1020872,	4,	128
1022304,	11,	128
1023832,	24,	128
1025368,	47,	128
1026896,	73,	128
1028424,	105,	128
1030040,	140,	128
1031656,	179,	128
1033272,	213,	128
1034888,	250,	128
1036504,	285,	128
1038120,	316,	128
1039728,	345,	128
1041344,	369,	128
1042960,	395,	128
1044576,	416,	128
1046192,	432,	128
1047808,	452,	128
1049424,	464,	128
1051032,	480,	128
1052648,	489,	128
1054264,	502,	128
1055880,	509,	128
1057496,	516,	128
1059112,	525,	128
1060728,	529,	128
1062344,	538,	128
1063952,	541,	128
1065568,	547,	128
1067184,	552,	128
1068800,	554,	128
1070416,	560,	128
1072032,	561,	128
1073648,	566,	128
1075264,	568,	128
1076872,	571,	128
1078488,	576,	128
1080104,	575,	128
1081720,	578,	128
1083336,	579,	128
1084952,	582,	128
1086568,	585,	128
1088184,	584,	128
1089800,	588,	128
1091408,	586,	128
1093024,	590,	128
1094640,	589,	128
1096256,	593,	128
1097872,	594,	128
1099488,	595,	128
1101104,	598,	128
1102720,	595,	128
1104328,	599,	128
1105944,	597,	128
1107560,	598,	128
1109176,	601,	128
1110792,	602,	128
1112408,	603,	128
1114024,	603,	128
1115632,	604,	128
1117248,	603,	128
1118864,	604,	128
1120480,	606,	128
1122096,	605,	128
1123712,	609,	128
1125328,	606,	128
1126944,	609,	128
1128552,	609,	128
1130168,	607,	128
1131784,	610,	128
1133400,	608,	128
1135016,	611,	128
1136632,	608,	128
1138248,	612,	128
1139864,	614,	128
1141472,	611,	128
1143088,	614,	128
1144704,	611,	128
1146320,	614,	128
1147936,	611,	128
1149552,	613,	128
1151168,	614,	128
1152784,	612,	128
1154392,	615,	128
1156008,	613,	128
1157624,	617,	128
1159240,	613,	128
1160856,	615,	128
1162472,	618,	128
1164088,	616,	128
1165704,	618,	128
1167320,	615,	128
1168928,	618,	128
1170552,	618,	128
1172160,	617,	128
1173776,	620,	128
1175392,	618,	128
1177008,	621,	128
1178632,	617,	128
1180232,	620,	128
1181848,	620,	128
1183464,	618,	128
1185080,	621,	128
1186696,	619,	128
1188312,	622,	128
1189928,	619,	128
1191544,	619,	128
1193160,	621,	128
1194768,	619,	128
1196384,	622,	128
1198000,	619,	128
1199616,	621,	128
1201232,	619,	128
1202848,	620,	128
1204464,	622,	128
1206072,	620,	128
1207688,	624,	128
1209304,	621,	128
1210920,	623,	128
1212544,	623,	128
1214152,	621,	128
1215768,	625,	128
1217384,	622,	128
1218992,	623,	128
1220616,	621,	128
1222224,	625,	128
1223840,	624,	128
1225456,	623,	128
1227072,	624,	128
1228688,	622,	128
1230304,	625,	128
1231912,	622,	128
1233528,	622,	128
1235144,	624,	128
1236760,	623,	128
1238376,	626,	128
1239992,	624,	128
1241608,	627,	128
1243224,	622,	128
1244832,	623,	128
1246448,	627,	128
1248064,	623,	128
1249680,	627,	128
1251296,	623,	128
1252912,	626,	128
1254528,	627,	128
1256144,	624,	128
1257752,	626,	128
1259368,	624,	128
1260984,	627,	128
1262600,	625,	128
1264216,	627,	128
1265832,	628,	128
1267448,	624,	128
1269064,	627,	128
1270672,	627,	128
1272288,	629,	128
1273904,	625,	128
1275520,	626,	128
1277136,	628,	128
1278752,	626,	128
1280368,	628,	128
1281984,	625,	128
1283592,	628,	128
1285208,	625,	128
1286824,	626,	128
1288440,	627,	128
1290056,	625,	128
1291672,	628,	128
1293288,	625,	128
1294904,	628,	128
1296512,	628,	128
1298128,	626,	128
1299744,	629,	128
1301360,	625,	128
1302976,	628,	128
1304592,	626,	128
1306208,	629,	128
1307824,	630,	128
1309432,	627,	128
1311048,	629,	128
1312664,	627,	128
1314280,	629,	128
1315896,	627,	128
1317512,	627,	128
1319128,	629,	128
1320744,	626,	128
1322360,	629,	128
1323968,	627,	128
1325584,	629,	128
1327200,	630,	128
1328816,	627,	128
1330432,	629,	128
1332048,	628,	128
1333664,	629,	128
1335272,	626,	128
1336888,	630,	128
1338504,	629,	128
1340120,	629,	128
1341736,	631,	128
1343352,	627,	128
1344968,	630,	128
1346584,	627,	128
1348192,	628,	128
1349808,	630,	128
1351424,	627,	128
1353040,	630,	128
1354656,	628,	128
1356272,	630,	128
1357888,	628,	128
1359504,	628,	128
1361112,	630,	128
1362728,	628,	128
1364344,	630,	128
1365960,	628,	128
1367576,	631,	128
1369192,	631,	128
1370808,	629,	128
1372424,	632,	128
1374032,	630,	128
1375648,	631,	128
1377264,	628,	128
1378880,	631,	128
1380496,	630,	128
1382112,	629,	128
1383728,	631,	128
1385344,	628,	128
1386960,	631,	128
1388568,	628,	128
1390184,	629,	128
1391800,	631,	128
1393416,	628,	128
1395032,	631,	128
1396648,	629,	128
1398264,	631,	128
1399872,	628,	128
1401488,	629,	128
1403104,	631,	128
1404720,	629,	128
1406336,	633,	128
1407952,	630,	128
1409568,	631,	128
1411184,	633,	128
1412792,	629,	128
1414408,	632,	128
1416024,	630,	128
1417640,	632,	128
1419256,	630,	128
