time,	LDR,	LED
1000456,	6,	0
1001072,	5,	0
1001728,	6,	0
1002376,	5,	0
1003024,	6,	0
1003680,	5,	0
1004328,	5,	0
1004976,	4,	0
1005632,	5,	0
1006824,	6,	0
1008096,	6,	0
1009368,	6,	0
1010648,	5,	0
1011920,	5,	0
1013192,	5,	0
1014472,	5,	0
1015744,	5,	0
1017016,	6,	0
1018296,	5,	0
1019568,	6,	0
1020856,	5,	128
1022288,	88,	128
1023816,	140,	128
1025432,	214,	128
1027048,	236,	128
1028664,	316,	128
1030280,	315,	128
1031896,	369,	128
1033512,	391,	128
1035128,	405,	128
1036736,	445,	128
1038352,	432,	128
1039968,	461,	128
1041584,	468,	128
1043200,	491,	128
1044816,	504,	128
1046432,	500,	128
1048048,	530,	128
1049664,	506,	128
1051272,	543,	128
1052888,	533,	128
1054504,	542,	128
1056120,	554,	128
1057736,	542,	128
1059352,	570,	128
1060968,	545,	128
1062576,	572,	128
1064192,	566,	128
1065808,	567,	128
1067424,	581,	128
1069040,	564,	128
1070656,	593,	128
1072272,	570,	128
1073888,	587,	128
1075504,	587,	128
1077112,	581,	128
1078728,	598,	128
1080344,	577,	128
1081960,	606,	128
1083576,	587,	128
1085192,	596,	128
1086808,	600,	128
1088416,	590,	128
1090032,	610,	128
1091648,	585,	128
1093264,	610,	128
1094880,	598,	128
1096496,	601,	128
1098112,	610,	128
1099728,	595,	128
1101344,	618,	128
1102952,	593,	128
1104568,	614,	128
1106184,	608,	128
1107800,	606,	128
1109416,	618,	128
1111032,	599,	128
1112648,	624,	128
1114264,	603,	128
1115872,	616,	128
1117488,	615,	128
1119104,	608,	128
1120720,	623,	128
1122336,	602,	128
1123952,	627,	128
1125568,	610,	128
1127176,	617,	128
1128792,	620,	128
1130408,	609,	128
1132024,	628,	128
1133640,	604,	128
1135256,	627,	128
1136872,	616,	128
1138488,	617,	128
1140104,	625,	128
1141712,	610,	128
1143328,	632,	128
1144952,	609,	128
1146560,	626,	128
1148176,	621,	128
1149792,	618,	128
1151408,	629,	128
1153016,	611,	128
1154632,	635,	128
1156248,	614,	128
1157864,	625,	128
1159480,	625,	128
1161096,	617,	128
1162712,	633,	128
1164328,	611,	128
1165936,	635,	128
1167552,	619,	128
1169168,	624,	128
1170784,	629,	128
1172400,	617,	128
1174016,	635,	128
1175632,	611,	128
1177248,	633,	128
1178864,	623,	128
1180472,	624,	128
1182088,	632,	128
1183704,	616,	128
1185320,	637,	128
1186944,	615,	128
1188552,	631,	128
1190168,	627,	128
1191784,	622,	128
1193392,	635,	128
1195016,	616,	128
1196624,	639,	128
1198240,	619,	128
1199856,	629,	128
1201472,	630,	128
1203088,	621,	128
1204704,	637,	128
1206312,	616,	128
1207928,	638,	128
1209544,	623,	128
1211160,	628,	128
1212776,	633,	128
1214392,	620,	128
1216008,	639,	128
1217616,	615,	128
1219232,	636,	128
1220848,	627,	128
1222464,	627,	128
1224080,	635,	128
1225696,	620,	128
1227312,	641,	128
1228928,	619,	128
1230536,	635,	128
1232152,	630,	128
1233768,	626,	128
1235384,	638,	128
1237000,	619,	128
1238616,	643,	128
1240232,	623,	128
1241848,	632,	128
1243464,	634,	128
1245072,	624,	128
1246688,	639,	128
1248304,	618,	128
1249920,	641,	128
1251536,	627,	128
1253152,	630,	128
1254768,	635,	128
1256384,	623,	128
1257992,	642,	128
1259608,	617,	128
1261224,	638,	128
1262840,	630,	128
1264456,	629,	128
1266072,	638,	128
1267688,	621,	128
1269296,	643,	128
1270912,	622,	128
1272528,	636,	128
1274144,	633,	128
1275760,	627,	128
1277376,	640,	128
1278992,	621,	128
1280608,	629,	128
1282216,	625,	128
1283832,	634,	128
1285448,	635,	128
1287064,	626,	128
1288680,	642,	128
1290296,	620,	128
1291912,	642,	128
1293528,	629,	128
1295136,	632,	128
1296752,	637,	128
1298368,	625,	128
1299984,	643,	128
1301600,	619,	128
1303216,	639,	128
1304832,	632,	128
1306448,	630,	128
1308056,	640,	128
1309672,	624,	128
1311288,	645,	128
1312904,	624,	128
1314520,	637,	128
1316136,	635,	128
1317752,	629,	128
1319368,	642,	128
1320976,	622,	128
1322592,	631,	128
1324208,	627,	128
1325824,	635,	128
1327440,	637,	128
1329056,	627,	128
1330672,	644,	128
1332288,	621,	128
1333896,	643,	128
1335512,	631,	128
1337128,	633,	128
1338744,	639,	128
1340360,	625,	128
1341976,	645,	128
1343592,	622,	128
1345208,	640,	128
1346816,	634,	128
1348432,	632,	128
1350048,	641,	128
1351664,	625,	128
1353280,	646,	128
1354896,	626,	128
1356512,	638,	128
1358128,	637,	128
1359744,	629,	128
1361352,	643,	128
1362968,	624,	128
1364584,	647,	128
1366200,	630,	128
1367816,	636,	128
1369432,	639,	128
1371048,	628,	128
1372656,	645,	128
1374272,	622,	128
1375888,	644,	128
1377504,	633,	128
1379120,	634,	128
1380736,	641,	128
1382352,	627,	128
1383968,	646,	128
1385584,	624,	128
1387192,	641,	128
1388808,	635,	128
1390424,	632,	128
1392040,	643,	128
1393656,	625,	128
1395272,	648,	128
1396888,	628,	128
1398504,	639,	128
1400112,	638,	128
1401728,	631,	128
1403344,	645,	128
1404960,	624,	128
1406576,	647,	128
1408192,	631,	128
1409808,	637,	128
1411416,	640,	128
1413032,	629,	128
1414648,	646,	128
1416264,	623,	128
1417880,	644,	128
