time,	LDR,	LED
440,	6,	0
1864,	6,	0
3344,	6,	0
4816,	6,	0
6288,	6,	0
11624,	8,	1024
27256,	220,	1024
45976,	432,	1024
64696,	502,	1024
83416,	529,	1024
102136,	542,	1024
121896,	550,	1024
141656,	556,	1024
161416,	559,	1024
181176,	561,	1024
200936,	563,	1024
220696,	565,	1024
240456,	567,	1024
260224,	567,	1024
279976,	568,	1024
299736,	568,	1024
319496,	569,	1024
339256,	569,	1024
359016,	570,	1024
378776,	570,	1024
398536,	571,	1024
418296,	571,	1024
438056,	571,	1024
457816,	571,	1024
477576,	571,	1024
497336,	572,	1024
517096,	572,	1024
536856,	572,	1024
556616,	572,	1024
576376,	572,	1024
596136,	572,	1024
615896,	572,	1024
635656,	573,	1024
655416,	573,	1024
675176,	573,	1024
694936,	573,	1024
714696,	573,	1024
734456,	573,	1024