luminaire 1, luminaire 2, luminaire 3
0.00       , 0.00       , 0.00
0.00       , 0.00       , 0.00
0.03       , 0.03       , 0.07
0.06       , 0.05       , 0.15
0.09       , 0.07       , 0.22
0.12       , 0.09       , 0.30
0.15       , 0.11       , 0.37
0.18       , 0.13       , 0.45
0.21       , 0.16       , 0.52
0.24       , 0.18       , 0.60
0.26       , 0.20       , 0.67
0.29       , 0.22       , 0.75
0.32       , 0.24       , 0.82
0.35       , 0.26       , 0.90
0.38       , 0.29       , 0.97
0.41       , 0.31       , 1.05
0.44       , 0.33       , 1.12
0.47       , 0.35       , 1.20
0.50       , 0.37       , 1.27
0.52       , 0.39       , 1.35
0.55       , 0.42       , 1.42
0.58       , 0.44       , 1.50
0.61       , 0.46       , 1.57
0.64       , 0.48       , 1.65
0.67       , 0.50       , 1.72
0.70       , 0.52       , 1.80
0.73       , 0.55       , 1.87
0.76       , 0.57       , 1.95
0.79       , 0.59       , 2.02
0.81       , 0.61       , 2.10
0.84       , 0.63       , 2.17
0.87       , 0.65       , 2.25
0.90       , 0.67       , 2.32
0.93       , 0.70       , 2.40
0.96       , 0.72       , 2.47
0.99       , 0.74       , 2.55
1.02       , 0.76       , 2.62
1.05       , 0.78       , 2.70
1.07       , 0.80       , 2.77
1.10       , 0.83       , 2.85
