luminaire 1, luminaire 2, luminaire 3
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.08, 0.02, 0.11
0.16, 0.02, 0.26
0.24, 0.02, 0.42
0.33, 0.02, 0.57
0.41, 0.02, 0.73
0.49, 0.02, 0.88
0.57, 0.02, 1.04
0.66, 0.02, 1.19
0.74, 0.02, 1.35
0.82, 0.02, 1.50
0.90, 0.02, 1.66
0.99, 0.02, 1.81
1.07, 0.02, 1.97
1.15, 0.02, 2.12
1.23, 0.02, 2.28
1.32, 0.02, 2.43
1.40, 0.02, 2.59
1.48, 0.02, 2.74
1.57, 0.02, 2.90
1.65, 0.02, 3.05
1.73, 0.02, 3.21
1.81, 0.02, 3.36
1.90, 0.02, 3.52
1.98, 0.02, 3.67
2.06, 0.02, 3.83
2.14, 0.02, 3.98
2.23, 0.02, 4.14
2.31, 0.02, 4.29
2.39, 0.02, 4.45
2.48, 0.02, 4.60
2.56, 0.02, 4.76
2.64, 0.02, 4.91
2.72, 0.02, 5.07
2.81, 0.02, 5.22
2.89, 0.02, 5.38
2.97, 0.02, 5.53
3.05, 0.02, 5.69
3.14, 0.02, 5.84
