luminaire 1, luminaire 2, luminaire 3
0.00, 0.00, 0.00
0.00, 0.00, 0.00
27920.19, 10985.83, 5988.11
20210.42, 8574.78, 4998.77
16942.68, 7373.48, 4451.12
15334.72, 6459.97, 3897.65
13891.79, 5807.46, 3340.84
12649.16, 5351.87, 2923.23
11655.36, 4952.47, 2598.43
11019.80, 4659.98, 2338.59
10412.43, 4420.67, 2125.99
9848.04, 4198.72, 1948.82
9583.81, 4042.11, 1798.91
9150.96, 3888.56, 1670.42
8850.62, 3755.48, 1559.06
8606.80, 3647.49, 1461.61
8408.92, 3544.25, 1375.64
8147.03, 3459.99, 1299.21
8079.12, 3377.48, 1230.83
7875.17, 3303.23, 1169.29
7728.72, 3248.92, 1113.61
7643.32, 3181.12, 1062.99
7531.96, 3130.96, 1016.77
7376.52, 3084.99, 974.41
7347.38, 3031.88, 935.43
7251.32, 2998.45, 899.45
7153.14, 2957.49, 866.14
7080.55, 2919.45, 835.21
7004.32, 2893.36, 806.41
6907.76, 2855.48, 779.53
6891.83, 2828.78, 754.38
6837.04, 2799.52, 730.80
6777.94, 2772.03, 708.66
6759.90, 2754.11, 687.82
6706.55, 2729.49, 668.16
6649.18, 2706.24, 649.60
6622.48, 2687.89, 632.05
6610.58, 2663.40, 655.07
6573.29, 2650.57, 696.24
6550.58, 2631.61, 796.57
