luminaire 1, luminaire 2, luminaire 3
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.93, 0.32, 1.76
0.81, 0.24, 2.96
0.65, 0.19, 3.62
0.54, 0.16, 4.04
0.46, 0.14, 4.34
0.40, 0.12, 4.57
0.36, 0.10, 4.75
0.32, 0.09, 4.89
0.29, 0.08, 5.00
0.27, 0.08, 5.09
0.25, 0.07, 5.17
0.23, 0.07, 5.24
0.22, 0.06, 5.30
0.20, 0.06, 5.35
0.19, 0.05, 5.40
0.18, 0.05, 5.44
0.17, 0.05, 5.48
0.16, 0.04, 5.51
0.15, 0.04, 5.54
0.15, 0.04, 5.57
0.14, 0.04, 5.59
0.13, 0.04, 5.62
0.13, 0.03, 5.64
0.12, 0.03, 5.66
0.12, 0.03, 5.67
0.12, 0.03, 5.69
0.11, 0.03, 5.71
0.11, 0.03, 5.72
0.10, 0.03, 5.73
0.10, 0.03, 5.75
0.10, 0.02, 5.76
0.09, 0.02, 5.77
0.09, 0.02, 5.78
0.09, 0.02, 5.79
0.09, 0.02, 5.80
0.08, 0.02, 5.81
0.08, 0.02, 5.82
0.08, 0.02, 5.83
