PWM,	ADC 0 to 1024,	Volts,	lux
0,	2,	0.009765625,	0.0015958195
1,	14,	0.068359375,	0.0272282088
2,	33,	0.1611328125,	0.0969576472
3,	56,	0.2734375,	0.2158603265
4,	77,	0.3759765625,	0.3534967077
5,	97,	0.4736328125,	0.509486053
6,	116,	0.56640625,	0.6803579883
7,	135,	0.6591796875,	0.8739853255
8,	152,	0.7421875,	1.0673234428
9,	168,	0.8203125,	1.2674624641
10,	183,	0.8935546875,	1.4719111751
11,	197,	0.9619140625,	1.6781779812
12,	211,	1.0302734375,	1.9001524699
13,	224,	1.09375,	2.1210871611
14,	236,	1.15234375,	2.3383603645
15,	248,	1.2109375,	2.56910073
16,	259,	1.2646484375,	2.7930445103
17,	269,	1.3134765625,	3.0074560374
18,	280,	1.3671875,	3.2558000438
19,	290,	1.416015625,	3.4934731446
20,	299,	1.4599609375,	3.7175369932
21,	307,	1.4990234375,	3.925137115
22,	316,	1.54296875,	4.1685801272
23,	324,	1.58203125,	4.3941355856
24,	332,	1.62109375,	4.6286800779
25,	340,	1.66015625,	4.8725855995
26,	347,	1.6943359375,	5.093990332
27,	355,	1.7333984375,	5.3565246962
28,	361,	1.7626953125,	5.5603257703
29,	368,	1.796875,	5.8058535448
30,	374,	1.826171875,	6.0231886809
31,	379,	1.8505859375,	6.2093158971
32,	387,	1.8896484375,	6.5169391246
33,	393,	1.9189453125,	6.7558730883
34,	400,	1.953125,	7.0438888336
35,	404,	1.97265625,	7.2130931588
36,	410,	2.001953125,	7.4734138804
37,	415,	2.0263671875,	7.6964952721
38,	418,	2.041015625,	7.8331008181
39,	425,	2.0751953125,	8.1601287586
40,	430,	2.099609375,	8.4010335823
41,	436,	2.12890625,	8.6984595116
42,	439,	2.1435546875,	8.8506822335
43,	445,	2.1728515625,	9.1623653142
44,	448,	2.1875,	9.3219160711
45,	451,	2.2021484375,	9.4840017244
46,	457,	2.2314453125,	9.8159707989
47,	461,	2.2509765625,	10.0432196546
48,	465,	2.2705078125,	10.2753601116
49,	469,	2.2900390625,	10.5125190433
50,	474,	2.314453125,	10.8162250972
51,	478,	2.333984375,	11.0651617144
52,	479,	2.3388671875,	11.1282435251
53,	484,	2.36328125,	11.4488514713
54,	488,	2.3828125,	11.7117161096
55,	491,	2.3974609375,	11.9126857158
56,	494,	2.412109375,	12.1170046643
57,	498,	2.431640625,	12.3947587866
58,	503,	2.4560546875,	12.7507522958
59,	503,	2.4560546875,	12.7507522958
60,	508,	2.48046875,	13.1168428547
61,	511,	2.4951171875,	13.3414910426
62,	513,	2.5048828125,	13.4933860614
